"STACK" "SEQ" "BIOREP" "DATE" "STRAIN" "FLUORS" "CELL" "SATELLITE" "DAPINORMMEAN" "MEAN" "TECHREP"
"144" "Stack.tif:0024-0284:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.361077844311377 6030 "1"
"145" "Stack.tif:0025-0285:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.362666666666667 5440 "1"
"146" "Stack.tif:0026-0286:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.293567251461988 5020 "1"
"147" "Stack.tif:0027-0298:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.24384236453202 4950 "1"
"148" "Stack.tif:0028-0308:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.419672131147541 5120 "1"
"149" "Stack.tif:0029-0314:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.338364779874214 5380 "1"
"150" "Stack.tif:0030-0323:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.267878787878788 4420 "1"
"151" "Stack.tif:0031-0327:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.221875 3550 "1"
"152" "Stack.tif:0032-0330:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.308955223880597 4140 "1"
"153" "Stack.tif:0033-0335:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.253383458646617 3370 "1"
"154" "Stack.tif:0034-0349:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.339090909090909 3730 "1"
"155" "Stack.tif:0035-0370:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.391269841269841 4930 "1"
"156" "Stack.tif:0036-0374:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.365060240963855 6060 "1"
"157" "Stack.tif:0037-0423:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.408270676691729 5430 "1"
"158" "Stack.tif:0038-0430:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.334615384615385 6090 "1"
"159" "Stack.tif:0039-0433:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.2375 4560 "1"
"160" "Stack.tif:0040-0453:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "06" "MINOR" 0.337857142857143 4730 "1"
"161" "Stack.tif:0001-0059:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "07" "MINOR" 0.243065693430657 3330 "1"
"162" "Stack.tif:0002-0072:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "07" "MINOR" 0.281896551724138 3270 "1"
"163" "Stack.tif:0003-0092:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "07" "MINOR" 0.22719298245614 2590 "1"
